#class tools::wcsv::ntuple
#title Event
#separator 44
#vector_separator 59
#column int Event
#column double Px
#column double Py
#column double Pz
#column double Tot-OpAbs
#column double Cerenkov
#column double compt
#column double CoupledTransportation
#column double eBrem
#column double eIon
#column double msc
#column double muIoni
#column double OpAbsorption
#column double phot
#column int NOfOptPhotons
#column int NOfScintPhotons
857,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
858,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
859,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
860,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
861,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
862,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
863,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
864,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
865,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
866,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
867,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
868,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
869,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
870,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
871,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
872,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
873,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
874,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
875,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
876,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
877,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
878,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
879,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
880,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
881,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
882,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
883,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
884,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
885,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
886,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
887,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
888,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
889,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
890,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
891,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
892,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
893,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
894,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
895,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
896,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
897,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
898,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
900,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
901,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
902,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
903,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
904,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
905,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
906,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
907,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
908,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
909,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
910,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
911,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
912,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
913,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
914,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
915,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
916,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
917,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
918,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
919,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
920,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
921,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
922,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
923,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
924,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
925,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
926,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
927,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
928,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
929,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
930,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
931,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
932,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
933,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
934,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
935,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
936,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
937,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
938,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
939,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
940,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
941,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
942,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
943,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
944,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
945,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
946,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
947,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
948,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
949,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
950,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
951,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
952,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
953,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
954,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
955,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
956,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
957,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
958,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
959,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
960,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
961,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
962,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
963,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
964,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
965,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
966,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
967,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
968,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
969,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
970,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
971,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
972,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
973,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
974,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
975,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
976,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
977,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
978,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
979,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
980,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
981,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
982,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
983,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
984,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
985,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
986,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
987,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
988,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
989,0,0,-1,148.756,0,0,0,0,148.756,0,0,0.360794,0,1398,1488
990,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
991,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
992,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
993,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
994,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
995,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
996,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
997,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
998,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1050,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1051,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1052,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1053,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1054,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1055,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1056,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1057,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1058,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1059,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1060,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1061,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1062,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1063,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1064,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1065,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1066,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1067,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1068,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1069,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1070,0,0,-1,159.649,13.6904,0,0,0,145.959,0,0,0.403324,0,1489,1597
1071,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1072,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1073,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1074,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1075,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1076,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1077,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1078,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1079,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1080,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1081,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1082,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1083,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1084,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1085,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1086,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1087,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1088,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1089,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1090,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1091,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1092,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1093,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1094,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1095,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1096,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1097,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1098,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1099,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1100,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1101,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1102,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1103,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1104,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1105,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1106,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1107,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1108,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1109,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1110,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1111,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1112,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1113,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1114,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1115,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1116,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1117,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1118,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1119,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1120,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1121,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1122,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1123,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1124,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1125,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1126,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1127,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1128,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1129,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1130,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1131,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1132,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1133,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1134,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1135,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1136,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1137,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1138,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1139,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1140,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1141,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1142,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1143,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1144,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1146,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1147,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1148,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1149,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1150,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1151,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1152,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1153,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1154,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1155,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1156,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1157,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1158,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1159,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1160,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1161,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1162,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1163,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1164,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1165,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1166,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1167,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1168,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1169,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1170,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1171,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1172,0,0,-1,278.492,14.4415,0,0.951894,0,54.9784,0,208.121,0.458791,0,2686,2816
1173,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1175,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1176,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1177,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1178,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1179,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1180,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1181,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1182,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1183,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1184,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1185,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1186,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1187,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1188,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1189,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1190,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1191,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1192,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1193,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1194,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1195,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1196,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1197,0,0,-1,71.6759,0,0,22.2152,0,0,0,49.4607,0.0904496,0,729,749
1198,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1199,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1450,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1451,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1452,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1453,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1454,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
